Apple, red or green skin
Koala, arboreal marsupial native to Australia with a diet primarily of eucalyptus leaves
Kangaroo, marsupial mammal native to Australia known for its powerful hind legs and pouch for carrying young
Platypus, egg-laying mammal native to Australia with a duck-like bill and webbed feet
Bald eagle, large bird of prey native to North America with a white head and tail
Falcon, bird of prey known for its speed and aerial hunting skills
Owl, nocturnal bird of prey with forward-facing eyes and silent flight
Wolf, carnivorous mammal known for its pack behavior and howling
Fox, small to medium-sized carnivorous mammal with a bushy tail
Bear, large mammal with a stocky build and shaggy fur
Moose, large deer native to North America with broad, palmate antlers
Bison, large bovine mammal native to North America with a humped back and shaggy fur
Beaver, semi-aquatic rodent known for building dams and lodges
Squirrel, small rodent with a bushy tail and fondness for nuts
Rabbit, small mammal with long ears and a fluffy tail
Hedgehog, small spiny mammal with a rounded body and pointed snout
Armadillo, armored mammal with a bony shell and long claws
Koala, arboreal marsupial native to Australia with a diet primarily of eucalyptus leaves
Kangaroo, marsupial mammal native to Australia known for its powerful hind legs and pouch for carrying young
Platypus, egg-laying mammal native to Australia with a duck-like bill and webbed feet
Bald eagle, large bird of prey native to North America with a white head and tail
Falcon, bird of prey known for its speed and aerial hunting skills
Owl, nocturnal bird of prey with forward-facing eyes and silent flight
Wolf, carnivorous mammal known for its pack behavior and howling
Fox, small to medium-sized carnivorous mammal with a bushy tail
Bear, large mammal with a stocky build and shaggy fur
Moose, large deer native to North America with broad, palmate antlers
Bison, large bovine mammal native to North America with a humped back and shaggy fur
Beaver, semi-aquatic rodent known for building dams and lodges
Squirrel, small rodent with a bushy tail and fondness for nuts
Rabbit, small mammal with long ears and a fluffy tail
Hedgehog, small spiny mammal with a rounded body and pointed snout
Armadillo, armored mammal with a bony shell and long claws
